id,tag,cleaner_description
1,DA,построение и поддержка отчетов для контроля качества выполняемых операций и оптимизации процессов поддержка обновления отчетов контроль полноты и корректности данных тесное взаимодействие с внутренними заказчиками бизнес аналитики финансового департамента руководители операционного блока превращение их проблем в задачи аналитики выгрузка данных из бд построение витрин данных оптимизация sql запросов улучшение bi отчетности требования высшее образование в области анализа данных математики статистики аналитика данных знание sql python на продвинутом уровне построении витрин данных и регулярной отчетности желание погружаться в бизнес процессы и разбираться как работает бизнес bi инструментами superset tableau power bi субд vertica microsoft sql airflow
2,DA,senior data analyst задачей команды data аналитики станет разработка системы автоматизированной отчетности искать инсайты и паттерны в поведении пользователей анализировать аномалии и выявлять их причины искать точки роста холдинга путем анализа данных организовывать доставку необходимых данных до дашбородов в bi генерировать гипотезы по применению данных в рамках ds проектов работать с большим массивом данных и прорабатывать метрики обрабатывать срочные ad hoc запросы роли дата аналитика уверенное владение sql python hadoop spark высшее техническое образование понимание бизнеса умение разбираться в расплывчатых формулировках заказчиков и выявлять их потребности развитые аналитические способности структурное мышление и умение излагать свои мысли стек hadoop postgresql greenplum kafka jira confluence
3,DA,специалиста по исследованию данных для аналитической поддержки внутренних клиентов разработки аналитических моделей и решений на их основе сервис аналитической поддержки принятия решений в управлении продуктами в сегментном менеджменте и стратегическом планировании блока работать с данными в масштабах находить инсайты выдвигать и проверять гипотезы обогащать цифровой профиль клиента новыми знаниями профили события контекст мотиваторы формировать рекомендации для владельцев продуктов на основании анализа клиентских данных рынка построение lookalike моделей заниматься поиском взаимосвязей закономерностей и аномалий в регулярных данных клиенты рынки опер процессы банка выявлять анализировать и интерпретировать связи между клиентами применять на практике инструменты анализа и моделирования проводить сегментацию и прогнозировать поведение участников рынка выявлять поведенческие паттерны в клиентских данных знание математической статистики и теории вероятностей опыт использования методов и алгоритмов машинного обучения хорошие навыки программирования python sql уверенное знание mlстека на python numpy pandas sklearn pytorch инструменты командной разработки git умение систематизировать данные и понятно для бизнеса описывать полученную в ходе исследований информацию опыт работы с hadoop spark как преимущество понимание работы банковского бизнеса знание sql владение языком r опыт решения задач на kaggle и подобных ресурсах умение оптимизировать код решать задачи
4,DA,junior аналитика данных обязанности общение с бизнес пользователями составлять запросы sql в clickhouse анализ сырых данных построение дэшбордов требования знания sql желательно обладать навыками работы в bi системах tableau power bi qlik и т д опыт работы в сфере анализа и оптимизации бизнес процессов организации будет преимуществом грамотная устная и письменная речь аналитика данных работа с отчетностью отделов клиентского сервиса контроль и анализ показателей kpi отделов анализ и предложение идей по улучшению процессов обслуживания клиентов рекомендации по сокращению издержек в процессах взаимодействие с другими подразделениями с целью улучшения клиентского опыта бизнес анализа понимание принципов и методологий бизнес анализа и опыт их применения навыки виртуализации и представления данных в понятной форме аналитическое мышление и умение принимать решения на основе данных и фактов продвинутые знания по для составления табличных документов
5,DA,data analyst заниматься аналитической поддержкой проекта от расчетов стандартных метрик до когортного анализа и поиска инсайтов для работы над продуктом определять и следить за ключевыми метриками проекта своевременно обеспечивать команду и руководство данными искать где возникают проблемы с использованием продукта и что можно улучшить анализировать результаты продуктовых изменений проводить аб тесты когортный анализ составлять тз разработчикам для создания новых аналитических событий автоматизировать и визуализировать выполнение рутинных задач делать регулярные и ad hoc исследования вести аналитическую отчётность знание продуктовых метрик и статистики sql bigquery или аналогичные решения python для анализа данных опыт работы с bi системами используем grafana google analytics streamlit mongoql
6,DA,анализ предметной области определением источников данных построением моделей данных и их документированием в каталоге данных взаимодействие с бизнес заказчиками выявлением и формализацией требований к построению витрин данных построение аналитических приложений bi разработка поддержка интеграционных потоков сервисов по преобразованию данных и выполнению расчетов над данными etl тестирование и поддержка внутренних инструментов управления данными подготовка технических спецификаций на реализацию внутренних инструментов автоматизации управления данными юз кейсы доменная модель бизнес логика и пользовательский интерфейс создаваемых инструментов высшее образование по направлениям информационные технологии нефтегазовое дело математика и физика опыт работы в роли аналитика данных bi аналитика или инженера данных от 2 лет уверенное владение нотациями uml er diagram class diagram use case activity diagram и соответствующими инструментами концептуального моделирования например ms visio опыт выстраивания процесса разработки и автоматизации bi приложений power bi qliksense tableau visiology или другая bi система уверенное знание sql опыт написания запросов и процедур каталог данных инструменты автоматизации обработки данных например alation alteryx openmetadata управления проектами например jira youtrack confluence понимание методологии agile
7,DA,сбор и формализация исходных данных из гетерогенных источников субд веб сервисы xls и т п настройка отчетов в инструментах bi подготовка источников формирование моделей данных составление мер и обработка данных формирование вариантов возможной технической реализации анализ и визуализация собранных данных в графическом виде контроль функциональности на предмет соответствия требованиям оформление запросов в трекере уверенное владение минимум одним из инструментов bi уверенное владение различными инструментами визуализации данных для построения отчётов дашбордов знание основ реляционных баз данных умение работать с sql запросами грамотная устная и письменная речь профильное высшее образование опыт работы в подобной должности не менее 1 года умение быстро ориентироваться в различных предметных областях приветствуется знание jira redmine трекеров
8,DA,сбор систематизация оценка и анализ данных коммерческого подразделения визуализация результатов аналитики выработка практических рекомендаций для достижения плановых показателей контроль отклонений от плановых показателей участие в разработке бизнес инициатив включая прогнозирование результатов работа с внутренней информационной базой для выполнения поставленных задач работа с яндекс метрикой и google analytics для сбора и анализа статистических данных разработка и внедрение различных методов сбора статистических данных разработка технических заданий для создания необходимых рабочих инструментов проверка реализованного функционала на соответствие требованиям требования высшее образование техническое экономическое профессиональное знание excel продвинутый пользователь навыки работы с яндекс метрикой и google analytics владение языком sql знание python опыт работы с базами данных с bi системами от 2 х лет знание различных аналитических инструментов сред программирования желательно бизнес аналитиком
9,DA,data analyst мы в департаменте big data строим внутренние продукты которые зарабатывают деньги и улучшают опыт наших покупателей продукты с высоким value для бизнеса аналитики у нас это полноценные самостоятельные единицы аналитика данных который будет помогать строить внутренние продукты дашборды и отвечать на самые сложные вопросы в компании и её продуктах что нужно делать помогать заказчикам уточнять их пожелания к результату перед тем как выполнять задачу формулировать гипотезы и проверять их на данных отвечать на свои вопросы и вопросы команд создавать отчёты для бизнес пользователей создание витрин и моделей данных визуализация в bi инструментах имплементация логики расчетов реверс инжиниринг legacy отчетов для замены qa собственных инструментов презентация результатов ad hoc запросы работать с разными продуктовыми и бизнес командами поддержка product de dev команд требования высшее образование математика бизнес информатика финансы уверенный sql на уровне оконных функций и оптимизаций запросов владение одним из bi инструментов power bi qlik sense tableau понимание принципов дизайна и сборки дашбордов понимание принципов работы хранилищ данных и etl elt процессов уверенные навыки excel power query power pivot dax владение стандартным набором python библиотек для анализа данных и умение использовать их для получения результата будет плюсом опыт работы со стеком технологий big data hadoop spark pyspark опыт работы с системами контроля версий gitlab опыт работы с apache airflow опыт применения математической статистики
10,DA,продуктового аналитика который присоединится к проекту отдел продуктовой аналитики обеспечить продуктовые команды данными отчетностью и исследованиями по активности клиентов на онлайн продуктах организовать и автоматизировать сбор данных для отчетности объединить данные систем источников и строить регулярную отчетность дашборды по клиентской активности принимать участие в исследованиях эффективности коммуникаций и точек входа путей пользователей при совершении операций помогать командам в генерации гипотез и проведении экспериментов погрузиться в процессы и текущие потребности продуктовых команд наборы необходимых метрик и методик их расчета для оценки путей клиентов обеспечить регулярный аудит качества и полноты данных о поведении клиентов а также матчинга онлайн и офлайн данных активно участвовать в разметке действий пользователей для системы продуктовой аналитики в т ч взаимодействовать с продуктовыми командами в рамках этого процесса от формирования набора метрик до написания тз и тестирования разметки уверенное владение sql и опыт работы с базами данных oracle postgres mysql google bigquery hadoop vertica sql server опыт работы с системами визуализации power bi tableau datalens superset google data studio qlikview qliksense опыт построения автоматизированной отчетности от сбора хранения подготовки данных до построения отчетов дашбордов и проведения анализа данных владение excel сводные таблицы формулы опыт работы с одной или несколькими системами аналитики appsflyer amplitude firebase mixpanel google analytics яндекс метрика appmetrica или аналогами необязательно знание инструментов для автоматизации сбора статистической обработки сырых данных python r
